iterations	rmse
1	1.1477564238847358
2	1.0455367003765759
3	0.9542025723826596
4	0.8730070038262134
5	0.800789874385071
6	0.735414484130976
7	0.6772586053394827
8	0.6253402096616815
9	0.5795052473382762
10	0.5383964233410319
11	0.503145891267632
12	0.47095475758820754
13	0.44133551343298544
14	0.4159268136218907
15	0.3926894235565635
16	0.37264509306621796
17	0.3542097596505526
18	0.338214029921475
19	0.32381715750633566
20	0.3098633943942037
21	0.298778841487773
22	0.28813184465717717
23	0.27949099023011537
24	0.270691180751249
25	0.2631068120817209
26	0.2549026529233459
27	0.24797213167924473
28	0.24142272415678517
29	0.2354967734735924
30	0.23086929841939652
31	0.22639734032083697
32	0.221777328683002
33	0.2172317349814979
34	0.2132424940182362
35	0.21025401568936375
36	0.20692817631704197
37	0.2029740893599432
38	0.1998002500088056
39	0.19644197719515244
40	0.1941054415598038
41	0.1915772100824653
42	0.189338034707228
43	0.1869314673323942
44	0.18448041581755786
45	0.18238699260516314
46	0.17936830042530127
47	0.17705229267697195
48	0.1753026324812161
49	0.17348991497138191
50	0.17096811192196273
51	0.16929120715452217
52	0.16765029847316973
53	0.16622606384454047
54	0.16500336719722877
55	0.16355431401613502
56	0.16124136432511
57	0.159219776170984
58	0.15706298958914927
59	0.1556399206415096
60	0.15433041792023686
61	0.15314177345578628
62	0.15217953987756647
63	0.150369515513157
64	0.14935547119772988
65	0.14852039269115355
66	0.14757339036456005
67	0.1458903533354622
68	0.1447120067036411
69	0.14359237913763295
70	0.14286736146285653
71	0.14150898815065188
72	0.14089891028871712
73	0.1400520578226873
74	0.1390547365659268
75	0.13823607822287737
76	0.13775826086441798
77	0.1371041667905949
78	0.13672065744691514
79	0.13628350120724453
80	0.13571864502786257
81	0.13535041062283792
82	0.13387526466448196
83	0.1330547689708748
84	0.13170062568940172
85	0.13088566741214958
86	0.13057373593145938
87	0.1289833812654408
88	0.1278161348767354
89	0.12693367960067548
90	0.12653613324312393
91	0.12586606476331477
92	0.12495245677245838
93	0.1246884318714262
94	0.12433990812988154
95	0.1242039620423175
96	0.1231407424983487
97	0.12185031111454792
98	0.12079787907036818
99	0.12047894263010517
100	0.11971057920181802
101	0.11925724464341017
102	0.11876996726919904
103	0.1184134499646696
104	0.11790260121083153
105	0.11742481710440572
106	0.11665468185138042
107	0.11584474857492322
108	0.11551147205762842
109	0.11522962608915205
110	0.11463360067226898
111	0.11446309345123504
112	0.11429103422352602
113	0.11420824631069257
114	0.11362239180957827
115	0.1123554480701436
116	0.1118111271150842
117	0.1115976868574497
118	0.110444854978634
119	0.11031307566019793
120	0.10941961496561892
121	0.109248546716063
122	0.10899026324675475
123	0.10878160319701559
124	0.1086365493629773
125	0.10779880647804639
126	0.10722442236011179
127	0.10701295800056057
128	0.10683387302679116
129	0.1062813613059522
130	0.10536552114469867
131	0.10454661590545772
132	0.10362316994776134
133	0.10312755901735865
134	0.10302757529842331
135	0.1028346938575551
136	0.10271037080014861
137	0.10224258296563271
138	0.10156341390837839
139	0.10142140588621613
140	0.10086519052571918
141	0.10023359097675268
142	0.09921333380705825
143	0.09909478056934691
144	0.09861293247423934
145	0.09826264111310337
146	0.0972407045440861
147	0.09710978859340974
148	0.09659514919697526
149	0.09650809004238688
150	0.09639440003650537
151	0.09559119921689646
152	0.09551812227481563
153	0.09540397520829874
154	0.09495518554779135
155	0.09486393302136928
156	0.09479645348961979
157	0.09426059757400279
158	0.09383085223793729
159	0.09344336902804146
160	0.09299757046879613
161	0.09248023389321776
162	0.09221468969407051
163	0.09205372657311114
164	0.09173974256170228
165	0.09158789179921865
166	0.09120713082904415
167	0.09105271501471256
