pH	OCP_t0
2.0	-0.671139
2.2	-0.681386
2.4000000000000004	-0.653973
2.6000000000000005	-0.701858
2.8000000000000007	-0.654833
3.000000000000001	-0.662688
3.200000000000001	-0.658734
3.4000000000000012	-0.658724
3.6000000000000014	-0.695908
3.8000000000000016	-0.669105
4.000000000000002	-0.68491
4.200000000000002	-0.727792
4.400000000000002	-0.849769
4.600000000000002	-0.666588
4.8000000000000025	-0.799814
5.000000000000003	-0.672413
5.200000000000003	-0.799616
5.400000000000003	-0.674658
5.600000000000003	-0.785997
5.800000000000003	-0.702883
6.0000000000000036	-0.709939
6.200000000000004	-0.743812
6.400000000000004	-0.78269
6.600000000000004	-0.824125
6.800000000000004	-0.699958
7.000000000000004	-0.739377
7.200000000000005	-0.875199
7.400000000000005	-0.723577
7.600000000000005	-0.826456
7.800000000000005	-0.726146
8.000000000000005	-0.746155
8.200000000000006	-0.676707
8.400000000000006	-0.66303
8.600000000000005	-0.670341
8.800000000000006	-0.82969
9.000000000000007	-0.71736
9.200000000000006	-0.732685
9.400000000000006	-0.748813
9.600000000000007	-0.674978
9.800000000000008	-0.729556
10.000000000000007	-0.742374
10.200000000000006	-0.872013
10.400000000000007	-1.12395
10.600000000000009	-1.20418
10.800000000000008	-1.20807
11.000000000000007	-1.3428
11.200000000000008	-1.41571
11.40000000000001	-1.43599
11.600000000000009	-1.52507
11.800000000000008	-1.52945
12.000000000000009	-1.53211
