	Trees	rmse of log
355	356	0.2627170343642506
356	357	0.26293947762147635
357	358	0.26391801486344885
358	359	0.2644648357613091
359	360	0.26323714013504046
360	361	0.26396798841727226
361	362	0.26408093407746924
362	363	0.2657204358127839
363	364	0.26401523284831924
364	365	0.2626905689324
365	366	0.2633325367271004
366	367	0.2625310134896812
367	368	0.2633704634541413
368	369	0.26280306141545456
369	370	0.26333966732909425
370	371	0.26435530605230045
371	372	0.26311414231753183
372	373	0.26435694852297015
373	374	0.26280357764842943
374	375	0.2635251177683735
375	376	0.2628529434467198
376	377	0.26261101270564086
377	378	0.2639108618519165
378	379	0.2629998778066642
379	380	0.26229060868609416
380	381	0.26355828472791704
381	382	0.2639604678805088
382	383	0.26320786452472394
383	384	0.26436219909952735
384	385	0.26367523410127186
385	386	0.26403964026273685
386	387	0.2624908027294858
387	388	0.2638114157755648
388	389	0.2625901679404372
389	390	0.2631182650652651
390	391	0.26317370038734345
391	392	0.2626714832052422
392	393	0.2657632298095231
393	394	0.26317187472081405
394	395	0.2626454016953108
395	396	0.26332215125406444
396	397	0.26225984187170887
397	398	0.2627136480572061
398	399	0.26395769825617127
399	400	0.26280281319105947
400	401	0.2629544967155064
401	402	0.26403599191963006
402	403	0.2629388812679054
403	404	0.2629476956662719
404	405	0.2633526339189197
405	406	0.2625430280585325
406	407	0.26322960116884137
407	408	0.26340431396123476
408	409	0.26392438699805465
409	410	0.26358843447395053
410	411	0.26260088051655894
411	412	0.26280358161348394
412	413	0.26509061929066224
413	414	0.26290889540570095
414	415	0.2635611481955685
415	416	0.26309310794766233
416	417	0.26328036748126443
417	418	0.2637931298003441
418	419	0.2629305641790565
419	420	0.2634659801705051
420	421	0.26411145551269793
421	422	0.26263169312187173
422	423	0.2613512584454281
423	424	0.26249874950883545
424	425	0.26252087121157003
425	426	0.2638672322463483
426	427	0.2638109696093838
427	428	0.26210665904408637
428	429	0.2629145594499006
429	430	0.26292294607822375
430	431	0.2630390922808736
431	432	0.2636739170928706
432	433	0.263349709990477
433	434	0.2624442135067715
434	435	0.26317764275383765
435	436	0.2633842591914411
436	437	0.2631392315732243
437	438	0.2633302706065429
438	439	0.26308903140138534
439	440	0.26243758093984404
440	441	0.26369237263617235
441	442	0.26371864865975736
442	443	0.2638444075148654
443	444	0.264025359032663
444	445	0.26468671035587144
445	446	0.2633511104662184
446	447	0.2639014645538396
447	448	0.2622224521303107
448	449	0.2637156946635288
449	450	0.26395946809101967
450	451	0.2622561104356536
451	452	0.26424218184534354
452	453	0.26368106049649187
453	454	0.2626278294875504
454	455	0.26216230158537507
455	456	0.26300871083076777
456	457	0.26286958265691696
457	458	0.26246191535204
458	459	0.26337686327716103
459	460	0.26313896564978123
460	461	0.2633041421017235
461	462	0.26400465592566463
462	463	0.26355180051742794
463	464	0.26261955066787485
464	465	0.26305547046285105
465	466	0.26473844527333174
466	467	0.26351110014051626
467	468	0.26260014319953473
468	469	0.2637412508090873
469	470	0.2635278141590325
470	471	0.26458070309494636
471	472	0.2630541528377297
472	473	0.2624109050632597
473	474	0.26290254206547764
474	475	0.2637239479152088
475	476	0.263074173966373
476	477	0.26313335611223226
477	478	0.26360165195457874
478	479	0.2621734266423056
479	480	0.2634357346787275
480	481	0.26295151135656075
481	482	0.2630956977079629
482	483	0.26376536670399087
483	484	0.2642456298335465
484	485	0.2634461093669205
485	486	0.2637979381344265
486	487	0.2628398539137808
487	488	0.2636000238537081
488	489	0.26343399148305924
489	490	0.26355383972339397
490	491	0.2623855167068185
491	492	0.2631031179987912
492	493	0.2641026314897673
493	494	0.2633024113791923
494	495	0.26361090422716976
495	496	0.2628272668827303
496	497	0.26365054338083244
497	498	0.2624976658947164
498	499	0.2655360939811289
499	500	0.26345366199615217
