n_estimators	max_features	potential (E)	pH
1	0.3	0.7883762071999753	0.21162379280002475
1	1.0	0.60397679643383	0.3960232035661701
5	0.3	0.6922538539880976	0.3077461460119025
5	1.0	0.604571062518659	0.39542893748134095
10	0.3	0.7261388010702674	0.2738611989297327
10	1.0	0.6043801354831426	0.3956198645168573
100	0.3	0.6968694161782197	0.30313058382178026
100	1.0	0.6041167657671911	0.39588323423280886
200	0.3	0.7081707710908509	0.2918292289091491
200	1.0	0.6041169537505445	0.39588304624945553
