pH	(MAPE of log)	mape	rmse
4.2	0.13632360526703563	1.3687483393355144	0.8094004040194046
6.4	0.02634009902162545	1.0625273039857397	0.26328841146251264
4.4	0.09765170336971593	1.2521365803751785	0.5565045477129902
3.6	0.04256431740929265	1.1029715677715366	0.3991488930861438
