Feature	exp_data	cb	rf	xgb	lgb	ann	average_ML	mean_error	mean_absolute_percentage_error[\%]
OCP [V]	-0.785424	-0.808424	-0.809424	-0.810124	-0.738824	-0.604924	-0.759524	0.025900000000000034	3.2975819430014917
Tafel slope [V/dec]	-0.38421749672235855	-0.3273689872088167	-0.37718423497354997	-0.38939284901952437	-0.39345450842406876	-0.7742817792223474	-0.44098330926177765	-0.05676581253941909	14.774395498297396
R value slope	-0.99841445675452	-0.9534668233471845	-0.9977512280703361	-0.97635777972129	-0.991915332834282	-0.8348830078275017	-0.9587981047591857	0.03961635199533431	3.9679265186235955
Std. error slope	0.00045286639451297433	0.0024218489099579006	0.0005962327087686947	0.002036511615233358	0.0008870712349984401	0.006661062225024828	0.002175932181416033	0.0017230657869030587	380.47994017222095
"E	extsubscript{corr} [V]"	-0.7854239999999999	-0.808424	-0.8094239999999999	-0.8101240152655667	-0.7388240000000001	-0.6049239212551432	-0.7595239894201183	0.02590001057988156	3.2975832900295337
"i	extsubscript{corr} [$\mu$A cm$^{-2}$]"	0.9601761101404855	0.7239139867789757	0.9898748961243383	0.9831267225128315	0.7649534595300879	171.54896927970307	29.32850240913163	28.368326298991146	2954.491993644844
