Feature	exp_data	cb	rf	xgb	lgb	ann	average_ML	mean_error	mean_absolute_percentage_error[\%]
OCP [V]	-0.716224	-0.748724	-0.679324	-0.680024	-0.684524	-0.550024	-0.6764739999999999	0.03975000000000006	5.54993968367439
Tafel slope [V/dec]	-0.6172823627115691	-0.4870936728771382	-0.42500846112457913	-0.6277445850933574	-0.6085961467078109	-0.5304794161804155	-0.5493674407824783	0.06791492192909077	11.00224565476928
R value slope	-0.9993854633895993	-0.9170668486252156	-0.8164625539790791	-0.9288016400174861	-0.9819436935387366	-0.8738498829710156	-0.919585013753522	0.07980044963607735	7.984952008949526
Std. error slope	0.00035719338681023896	0.003851264207107168	0.004524492868077506	0.0037758300778552418	0.0017861358224377571	0.0035277184086625075	0.0029704391284917364	0.0026132457416814976	731.6052979082167
"E	extsubscript{corr} [V]"	-0.716224	-0.7487239999999997	-0.6793239999999998	-0.6800239640306853	-0.6845240000000001	-0.5500240483701253	-0.6764740020668016	0.03974999793319833	5.549939395105209
"i	extsubscript{corr} [$\mu$A cm$^{-2}$]"	0.5823207742134635	1.2997968216494624	0.8366654463017471	1.3270845057657152	1.58941790750195	116.61568394241527	20.375161566307934	19.79284079209447	3398.958386608913
